id,url,тип_объявления,регион,статус_поиска,дата_публикации,тип_животного,пол,возраст,окрас,есть_фото,количество_фото,длина_описания,есть_контакты,количество_комментариев
97136672,https://pet911.ru/sankt-peterburg/found/dog/rf1076240,найден,Санкт-Петербург,ищут хозяина,"чт, 25.09.2025",собака,женский,не указан,черный,да,4,69,да,4
1551760,https://pet911.ru/solnechnoye/found/dog/rf1076224,найден,Солнечное,ищут хозяина,"чт, 25.09.2025",собака,не указан,не указан,не указан,да,3,17,да,3
2829590,https://pet911.ru/sankt-peterburg/found/dog/rf1076221,найден,Санкт-Петербург,ищут хозяина,"чт, 25.09.2025",собака,мужской,лет,"белый, коричневый",да,1,9,да,3
33714434,https://pet911.ru/sankt-peterburg/found/dog/rf1076751,найден,Санкт-Петербург,хозяин найден,"пт, 26.09.2025",собака,мужской,не указан,не указан,да,1,30,да,10
61754357,https://pet911.ru/sankt-peterburg/found/dog/rf1075921,найден,Санкт-Петербург,ищут хозяина,"ср, 24.09.2025",собака,не указан,год,белый,да,1,60,да,4
83759785,https://pet911.ru/moskva/found/cat/rf1080001,найден,Москва,ищут хозяина,"чт, 02.10.2025",кошка,женский,меньше,не указан,да,1,5,да,3
16970321,https://pet911.ru/sankt-peterburg/found/cat/rf1078628,найден,Санкт-Петербург,ищут хозяина,"пн, 29.09.2025",кошка,не указан,не указан,не указан,да,2,18,да,3
80281317,https://pet911.ru/sankt-peterburg/found/cat/rf1078604,найден,Санкт-Петербург,ищут хозяина,"пн, 29.09.2025",кошка,не указан,не указан,черный,да,1,51,да,5
657478,https://pet911.ru/sankt-peterburg/found/cat/rf1078480,найден,Санкт-Петербург,ищут хозяина,"пн, 29.09.2025",кошка,не указан,лет,не указан,нет,0,35,да,3
6449327,https://pet911.ru/sankt-peterburg/found/cat/rf1078282,найден,Санкт-Петербург,ищут хозяина,"пн, 29.09.2025",кошка,мужской,не указан,"белый, черный",да,1,26,да,3
9761492,https://pet911.ru/sankt-peterburg/found/cat/rf1078116,найден,Санкт-Петербург,ищут хозяина,"пн, 29.09.2025",кошка,не указан,не указан,не указан,нет,0,21,да,3
7009621,https://pet911.ru/sankt-peterburg/found/cat/rf1078005,найден,Санкт-Петербург,ищут хозяина,"вс, 28.09.2025",кошка,не указан,месяц,серый,да,1,13,да,3
71000003,https://pet911.ru/sankt-peterburg/found/cat/rf1077838,найден,Санкт-Петербург,ищут хозяина,"вс, 28.09.2025",кошка,не указан,не указан,не указан,да,1,1,да,1
2541102,https://pet911.ru/sankt-peterburg/found/cat/rf1077809,найден,Санкт-Петербург,ищут хозяина,"вс, 28.09.2025",кошка,не указан,не указан,не указан,да,1,45,да,3
71223172,https://pet911.ru/sankt-peterburg/found/cat/rf1078861,найден,Санкт-Петербург,ищут хозяина,"вт, 30.09.2025",кошка,женский,не указан,не указан,да,2,18,да,5
17700310,https://pet911.ru/leningradskaya-oblast/found/cat/rf1078081,найден,Ленинградская область,ищут хозяина,"вс, 28.09.2025",кошка,женский,не указан,не указан,да,3,31,да,3
53541818,https://pet911.ru/sankt-peterburg/found/cat/rf1077441,найден,Санкт-Петербург,ищут хозяина,"сб, 27.09.2025",кошка,женский,лет,не указан,да,2,5,да,3
